S,I,R,tempo
68.00,2.00,0.00,0.0
67.99,2.01,0.00,0.1
67.97,2.02,0.00,0.2
67.96,2.03,0.01,0.3
67.95,2.05,0.01,0.4
67.93,2.06,0.01,0.5
67.92,2.07,0.01,0.6
67.90,2.08,0.02,0.7
67.89,2.09,0.02,0.8
67.87,2.10,0.02,0.9
67.86,2.12,0.02,1.0
67.85,2.13,0.03,1.1
67.83,2.14,0.03,1.2
67.82,2.15,0.03,1.3
67.80,2.16,0.03,1.4
67.79,2.18,0.04,1.5
67.77,2.19,0.04,1.6
67.76,2.20,0.04,1.7
67.74,2.21,0.04,1.8
67.73,2.23,0.05,1.9
67.71,2.24,0.05,2.0
67.70,2.25,0.05,2.1
67.68,2.26,0.05,2.2
67.67,2.28,0.06,2.3
67.65,2.29,0.06,2.4
67.64,2.30,0.06,2.5
67.62,2.32,0.06,2.6
67.61,2.33,0.07,2.7
67.59,2.34,0.07,2.8
67.57,2.35,0.07,2.9
67.56,2.37,0.07,3.0
67.54,2.38,0.08,3.1
67.53,2.39,0.08,3.2
67.51,2.41,0.08,3.3
67.49,2.42,0.08,3.4
67.48,2.44,0.09,3.5
67.46,2.45,0.09,3.6
67.44,2.46,0.09,3.7
67.43,2.48,0.10,3.8
67.41,2.49,0.10,3.9
67.39,2.50,0.10,4.0
67.38,2.52,0.10,4.1
67.36,2.53,0.11,4.2
67.34,2.55,0.11,4.3
67.33,2.56,0.11,4.4
67.31,2.57,0.12,4.5
67.29,2.59,0.12,4.6
67.27,2.60,0.12,4.7
67.26,2.62,0.12,4.8
67.24,2.63,0.13,4.9
67.22,2.65,0.13,5.0
67.20,2.66,0.13,5.1
67.19,2.68,0.14,5.2
67.17,2.69,0.14,5.3
67.15,2.71,0.14,5.4
67.13,2.72,0.15,5.5
67.11,2.74,0.15,5.6
67.09,2.75,0.15,5.7
67.08,2.77,0.16,5.8
67.06,2.78,0.16,5.9
67.04,2.80,0.16,6.0
67.02,2.81,0.16,6.1
67.00,2.83,0.17,6.2
66.98,2.85,0.17,6.3
66.96,2.86,0.17,6.4
66.94,2.88,0.18,6.5
66.92,2.89,0.18,6.6
66.91,2.91,0.18,6.7
66.89,2.93,0.19,6.8
66.87,2.94,0.19,6.9
66.85,2.96,0.19,7.0
66.83,2.98,0.20,7.1
66.81,2.99,0.20,7.2
66.79,3.01,0.20,7.3
66.77,3.02,0.21,7.4
66.75,3.04,0.21,7.5
66.73,3.06,0.21,7.6
66.71,3.08,0.22,7.7
66.69,3.09,0.22,7.8
66.67,3.11,0.23,7.9
66.64,3.13,0.23,8.0
66.62,3.14,0.23,8.1
66.60,3.16,0.24,8.2
66.58,3.18,0.24,8.3
66.56,3.20,0.24,8.4
66.54,3.21,0.25,8.5
66.52,3.23,0.25,8.6
66.50,3.25,0.25,8.7
66.47,3.27,0.26,8.8
66.45,3.29,0.26,8.9
66.43,3.30,0.27,9.0
66.41,3.32,0.27,9.1
66.39,3.34,0.27,9.2
66.36,3.36,0.28,9.3
66.34,3.38,0.28,9.4
66.32,3.40,0.28,9.5
66.30,3.41,0.29,9.6
66.28,3.43,0.29,9.7
66.25,3.45,0.30,9.8
66.23,3.47,0.30,9.9
66.21,3.49,0.30,10.0
66.18,3.51,0.31,10.1
66.16,3.53,0.31,10.2
66.14,3.55,0.32,10.3
66.11,3.57,0.32,10.4
66.09,3.59,0.32,10.5
66.07,3.61,0.33,10.6
66.04,3.63,0.33,10.7
66.02,3.65,0.34,10.8
65.99,3.67,0.34,10.9
65.97,3.69,0.34,11.0
65.95,3.71,0.35,11.1
65.92,3.73,0.35,11.2
65.90,3.75,0.36,11.3
65.87,3.77,0.36,11.4
65.85,3.79,0.37,11.5
65.82,3.81,0.37,11.6
65.80,3.83,0.37,11.7
65.77,3.85,0.38,11.8
65.75,3.87,0.38,11.9
65.72,3.89,0.39,12.0
65.70,3.91,0.39,12.1
65.67,3.93,0.40,12.2
65.64,3.96,0.40,12.3
65.62,3.98,0.41,12.4
65.59,4.00,0.41,12.5
65.57,4.02,0.41,12.6
65.54,4.04,0.42,12.7
65.51,4.06,0.42,12.8
65.49,4.09,0.43,12.9
65.46,4.11,0.43,13.0
65.43,4.13,0.44,13.1
65.41,4.15,0.44,13.2
65.38,4.17,0.45,13.3
65.35,4.20,0.45,13.4
65.32,4.22,0.46,13.5
65.30,4.24,0.46,13.6
65.27,4.27,0.47,13.7
65.24,4.29,0.47,13.8
65.21,4.31,0.48,13.9
65.18,4.34,0.48,14.0
65.16,4.36,0.49,14.1
65.13,4.38,0.49,14.2
65.10,4.41,0.50,14.3
65.07,4.43,0.50,14.4
65.04,4.45,0.51,14.5
65.01,4.48,0.51,14.6
64.98,4.50,0.52,14.7
64.95,4.52,0.52,14.8
64.93,4.55,0.53,14.9
64.90,4.57,0.53,15.0
64.87,4.60,0.54,15.1
64.84,4.62,0.54,15.2
64.81,4.65,0.55,15.3
64.78,4.67,0.55,15.4
64.75,4.70,0.56,15.5
64.72,4.72,0.56,15.6
64.68,4.75,0.57,15.7
64.65,4.77,0.57,15.8
64.62,4.80,0.58,15.9
64.59,4.82,0.58,16.0
64.56,4.85,0.59,16.1
64.53,4.88,0.60,16.2
64.50,4.90,0.60,16.3
64.47,4.93,0.61,16.4
64.43,4.95,0.61,16.5
64.40,4.98,0.62,16.6
64.37,5.01,0.62,16.7
64.34,5.03,0.63,16.8
64.31,5.06,0.63,16.9
64.27,5.09,0.64,17.0
64.24,5.11,0.65,17.1
64.21,5.14,0.65,17.2
64.18,5.17,0.66,17.3
64.14,5.19,0.66,17.4
64.11,5.22,0.67,17.5
64.08,5.25,0.68,17.6
64.04,5.28,0.68,17.7
64.01,5.30,0.69,17.8
63.97,5.33,0.69,17.9
63.94,5.36,0.70,18.0
63.91,5.39,0.71,18.1
63.87,5.42,0.71,18.2
63.84,5.45,0.72,18.3
63.80,5.47,0.72,18.4
63.77,5.50,0.73,18.5
63.73,5.53,0.74,18.6
63.70,5.56,0.74,18.7
63.66,5.59,0.75,18.8
63.63,5.62,0.76,18.9
63.59,5.65,0.76,19.0
63.55,5.68,0.77,19.1
63.52,5.71,0.77,19.2
63.48,5.74,0.78,19.3
63.45,5.77,0.79,19.4
63.41,5.80,0.79,19.5
63.37,5.83,0.80,19.6
63.33,5.86,0.81,19.7
63.30,5.89,0.81,19.8
63.26,5.92,0.82,19.9
63.22,5.95,0.83,20.0
63.19,5.98,0.83,20.1
63.15,6.01,0.84,20.2
63.11,6.04,0.85,20.3
63.07,6.07,0.85,20.4
63.03,6.11,0.86,20.5
62.99,6.14,0.87,20.6
62.96,6.17,0.88,20.7
62.92,6.20,0.88,20.8
62.88,6.23,0.89,20.9
62.84,6.26,0.90,21.0
62.80,6.30,0.90,21.1
62.76,6.33,0.91,21.2
62.72,6.36,0.92,21.3
62.68,6.39,0.93,21.4
62.64,6.43,0.93,21.5
62.60,6.46,0.94,21.6
62.56,6.49,0.95,21.7
62.52,6.53,0.95,21.8
62.48,6.56,0.96,21.9
62.44,6.59,0.97,22.0
62.40,6.63,0.98,22.1
62.35,6.66,0.98,22.2
62.31,6.69,0.99,22.3
62.27,6.73,1.00,22.4
62.23,6.76,1.01,22.5
62.19,6.80,1.02,22.6
62.15,6.83,1.02,22.7
62.10,6.87,1.03,22.8
62.06,6.90,1.04,22.9
62.02,6.94,1.05,23.0
61.97,6.97,1.05,23.1
61.93,7.01,1.06,23.2
61.89,7.04,1.07,23.3
61.84,7.08,1.08,23.4
61.80,7.11,1.09,23.5
61.76,7.15,1.09,23.6
61.71,7.19,1.10,23.7
61.67,7.22,1.11,23.8
61.62,7.26,1.12,23.9
61.58,7.29,1.13,24.0
61.53,7.33,1.14,24.1
61.49,7.37,1.14,24.2
61.44,7.40,1.15,24.3
61.40,7.44,1.16,24.4
61.35,7.48,1.17,24.5
61.31,7.52,1.18,24.6
61.26,7.55,1.19,24.7
61.21,7.59,1.19,24.8
61.17,7.63,1.20,24.9
61.12,7.67,1.21,25.0
61.07,7.71,1.22,25.1
61.03,7.74,1.23,25.2
60.98,7.78,1.24,25.3
60.93,7.82,1.25,25.4
60.88,7.86,1.26,25.5
60.84,7.90,1.26,25.6
60.79,7.94,1.27,25.7
60.74,7.98,1.28,25.8
60.69,8.02,1.29,25.9
60.64,8.06,1.30,26.0
60.59,8.10,1.31,26.1
60.55,8.14,1.32,26.2
60.50,8.18,1.33,26.3
60.45,8.22,1.34,26.4
60.40,8.26,1.35,26.5
60.35,8.30,1.36,26.6
60.30,8.34,1.37,26.7
60.25,8.38,1.38,26.8
60.20,8.42,1.38,26.9
60.15,8.46,1.39,27.0
60.09,8.50,1.40,27.1
60.04,8.54,1.41,27.2
59.99,8.58,1.42,27.3
59.94,8.63,1.43,27.4
59.89,8.67,1.44,27.5
59.84,8.71,1.45,27.6
59.78,8.75,1.46,27.7
59.73,8.79,1.47,27.8
59.68,8.84,1.48,27.9
59.63,8.88,1.49,28.0
59.57,8.92,1.50,28.1
59.52,8.97,1.51,28.2
59.47,9.01,1.52,28.3
59.41,9.05,1.53,28.4
59.36,9.10,1.54,28.5
59.31,9.14,1.55,28.6
59.25,9.18,1.56,28.7
59.20,9.23,1.57,28.8
59.14,9.27,1.59,28.9
59.09,9.32,1.60,29.0
59.03,9.36,1.61,29.1
58.98,9.40,1.62,29.2
58.92,9.45,1.63,29.3
58.87,9.49,1.64,29.4
58.81,9.54,1.65,29.5
58.76,9.58,1.66,29.6
58.70,9.63,1.67,29.7
58.64,9.68,1.68,29.8
58.59,9.72,1.69,29.9
58.53,9.77,1.70,30.0
58.47,9.81,1.72,30.1
58.41,9.86,1.73,30.2
58.36,9.91,1.74,30.3
58.30,9.95,1.75,30.4
58.24,10.00,1.76,30.5
58.18,10.05,1.77,30.6
58.12,10.09,1.78,30.7
58.07,10.14,1.79,30.8
58.01,10.19,1.81,30.9
57.95,10.24,1.82,31.0
57.89,10.28,1.83,31.1
57.83,10.33,1.84,31.2
57.77,10.38,1.85,31.3
57.71,10.43,1.86,31.4
57.65,10.48,1.88,31.5
57.59,10.52,1.89,31.6
57.53,10.57,1.90,31.7
57.47,10.62,1.91,31.8
57.41,10.67,1.92,31.9
57.34,10.72,1.94,32.0
57.28,10.77,1.95,32.1
57.22,10.82,1.96,32.2
57.16,10.87,1.97,32.3
57.10,10.92,1.99,32.4
57.03,10.97,2.00,32.5
56.97,11.02,2.01,32.6
56.91,11.07,2.02,32.7
56.85,11.12,2.04,32.8
56.78,11.17,2.05,32.9
56.72,11.22,2.06,33.0
56.66,11.27,2.07,33.1
56.59,11.32,2.09,33.2
56.53,11.37,2.10,33.3
56.46,11.42,2.11,33.4
56.40,11.48,2.12,33.5
56.33,11.53,2.14,33.6
56.27,11.58,2.15,33.7
56.20,11.63,2.16,33.8
56.14,11.68,2.18,33.9
56.07,11.74,2.19,34.0
56.01,11.79,2.20,34.1
55.94,11.84,2.22,34.2
55.88,11.89,2.23,34.3
55.81,11.95,2.24,34.4
55.74,12.00,2.26,34.5
55.68,12.05,2.27,34.6
55.61,12.11,2.29,34.7
55.54,12.16,2.30,34.8
55.47,12.21,2.31,34.9
55.41,12.27,2.33,35.0
55.34,12.32,2.34,35.1
55.27,12.38,2.35,35.2
55.20,12.43,2.37,35.3
55.13,12.48,2.38,35.4
55.06,12.54,2.40,35.5
54.99,12.59,2.41,35.6
54.93,12.65,2.43,35.7
54.86,12.70,2.44,35.8
54.79,12.76,2.45,35.9
54.72,12.81,2.47,36.0
54.65,12.87,2.48,36.1
54.58,12.93,2.50,36.2
54.51,12.98,2.51,36.3
54.43,13.04,2.53,36.4
54.36,13.09,2.54,36.5
54.29,13.15,2.56,36.6
54.22,13.21,2.57,36.7
54.15,13.26,2.59,36.8
54.08,13.32,2.60,36.9
54.01,13.38,2.62,37.0
53.93,13.43,2.63,37.1
53.86,13.49,2.65,37.2
53.79,13.55,2.66,37.3
53.72,13.61,2.68,37.4
53.64,13.66,2.69,37.5
53.57,13.72,2.71,37.6
53.50,13.78,2.73,37.7
53.42,13.84,2.74,37.8
53.35,13.90,2.76,37.9
53.27,13.95,2.77,38.0
53.20,14.01,2.79,38.1
53.13,14.07,2.80,38.2
53.05,14.13,2.82,38.3
52.98,14.19,2.84,38.4
52.90,14.25,2.85,38.5
52.82,14.31,2.87,38.6
52.75,14.37,2.88,38.7
52.67,14.43,2.90,38.8
52.60,14.49,2.92,38.9
52.52,14.54,2.93,39.0
52.44,14.60,2.95,39.1
52.37,14.66,2.97,39.2
52.29,14.72,2.98,39.3
52.21,14.79,3.00,39.4
52.14,14.85,3.02,39.5
52.06,14.91,3.03,39.6
51.98,14.97,3.05,39.7
51.90,15.03,3.07,39.8
51.83,15.09,3.09,39.9
51.75,15.15,3.10,40.0
51.67,15.21,3.12,40.1
51.59,15.27,3.14,40.2
51.51,15.33,3.15,40.3
51.43,15.39,3.17,40.4
51.35,15.46,3.19,40.5
51.28,15.52,3.21,40.6
51.20,15.58,3.22,40.7
51.12,15.64,3.24,40.8
51.04,15.70,3.26,40.9
50.96,15.77,3.28,41.0
50.88,15.83,3.30,41.1
50.79,15.89,3.31,41.2
50.71,15.95,3.33,41.3
50.63,16.02,3.35,41.4
50.55,16.08,3.37,41.5
50.47,16.14,3.39,41.6
50.39,16.21,3.40,41.7
50.31,16.27,3.42,41.8
50.23,16.33,3.44,41.9
50.14,16.40,3.46,42.0
50.06,16.46,3.48,42.1
49.98,16.52,3.50,42.2
49.90,16.59,3.52,42.3
49.81,16.65,3.53,42.4
49.73,16.72,3.55,42.5
49.65,16.78,3.57,42.6
49.56,16.84,3.59,42.7
49.48,16.91,3.61,42.8
49.40,16.97,3.63,42.9
49.31,17.04,3.65,43.0
49.23,17.10,3.67,43.1
49.15,17.17,3.69,43.2
49.06,17.23,3.71,43.3
48.98,17.30,3.73,43.4
48.89,17.36,3.75,43.5
48.81,17.43,3.77,43.6
48.72,17.49,3.79,43.7
48.64,17.56,3.81,43.8
48.55,17.62,3.83,43.9
48.47,17.69,3.85,44.0
48.38,17.75,3.87,44.1
48.29,17.82,3.89,44.2
48.21,17.89,3.91,44.3
48.12,17.95,3.93,44.4
48.04,18.02,3.95,44.5
47.95,18.08,3.97,44.6
47.86,18.15,3.99,44.7
47.77,18.22,4.01,44.8
47.69,18.28,4.03,44.9
47.60,18.35,4.05,45.0
47.51,18.41,4.07,45.1
47.43,18.48,4.09,45.2
47.34,18.55,4.11,45.3
47.25,18.61,4.13,45.4
47.16,18.68,4.16,45.5
47.07,18.75,4.18,45.6
46.99,18.82,4.20,45.7
46.90,18.88,4.22,45.8
46.81,18.95,4.24,45.9
46.72,19.02,4.26,46.0
46.63,19.08,4.28,46.1
46.54,19.15,4.31,46.2
46.45,19.22,4.33,46.3
46.36,19.29,4.35,46.4
46.27,19.35,4.37,46.5
46.19,19.42,4.39,46.6
46.10,19.49,4.42,46.7
46.01,19.56,4.44,46.8
45.92,19.62,4.46,46.9
45.83,19.69,4.48,47.0
45.74,19.76,4.50,47.1
45.65,19.83,4.53,47.2
45.55,19.90,4.55,47.3
45.46,19.96,4.57,47.4
45.37,20.03,4.59,47.5
45.28,20.10,4.62,47.6
45.19,20.17,4.64,47.7
45.10,20.24,4.66,47.8
45.01,20.30,4.69,47.9
44.92,20.37,4.71,48.0
44.83,20.44,4.73,48.1
44.73,20.51,4.76,48.2
44.64,20.58,4.78,48.3
44.55,20.65,4.80,48.4
44.46,20.72,4.83,48.5
44.37,20.78,4.85,48.6
44.27,20.85,4.87,48.7
44.18,20.92,4.90,48.8
44.09,20.99,4.92,48.9
44.00,21.06,4.94,49.0
43.90,21.13,4.97,49.1
43.81,21.20,4.99,49.2
43.72,21.26,5.02,49.3
43.63,21.33,5.04,49.4
43.53,21.40,5.06,49.5
43.44,21.47,5.09,49.6
43.35,21.54,5.11,49.7
43.25,21.61,5.14,49.8
43.16,21.68,5.16,49.9
43.07,21.75,5.19,50.0
42.97,21.82,5.21,50.1
42.88,21.88,5.24,50.2
42.78,21.95,5.26,50.3
42.69,22.02,5.29,50.4
42.60,22.09,5.31,50.5
42.50,22.16,5.34,50.6
42.41,22.23,5.36,50.7
42.31,22.30,5.39,50.8
42.22,22.37,5.41,50.9
42.13,22.44,5.44,51.0
42.03,22.51,5.46,51.1
41.94,22.57,5.49,51.2
41.84,22.64,5.51,51.3
41.75,22.71,5.54,51.4
41.65,22.78,5.57,51.5
41.56,22.85,5.59,51.6
41.46,22.92,5.62,51.7
41.37,22.99,5.64,51.8
41.27,23.06,5.67,51.9
41.18,23.13,5.70,52.0
41.08,23.20,5.72,52.1
40.99,23.26,5.75,52.2
40.89,23.33,5.78,52.3
40.80,23.40,5.80,52.4
40.70,23.47,5.83,52.5
40.60,23.54,5.86,52.6
40.51,23.61,5.88,52.7
40.41,23.68,5.91,52.8
40.32,23.75,5.94,52.9
40.22,23.82,5.96,53.0
40.13,23.88,5.99,53.1
40.03,23.95,6.02,53.2
39.93,24.02,6.04,53.3
39.84,24.09,6.07,53.4
39.74,24.16,6.10,53.5
39.65,24.23,6.13,53.6
39.55,24.30,6.15,53.7
39.45,24.36,6.18,53.8
39.36,24.43,6.21,53.9
39.26,24.50,6.24,54.0
39.17,24.57,6.26,54.1
39.07,24.64,6.29,54.2
38.97,24.71,6.32,54.3
38.88,24.77,6.35,54.4
38.78,24.84,6.38,54.5
38.68,24.91,6.41,54.6
38.59,24.98,6.43,54.7
38.49,25.05,6.46,54.8
38.40,25.11,6.49,54.9
38.30,25.18,6.52,55.0
38.20,25.25,6.55,55.1
38.11,25.32,6.58,55.2
38.01,25.39,6.60,55.3
37.91,25.45,6.63,55.4
37.82,25.52,6.66,55.5
37.72,25.59,6.69,55.6
37.62,25.66,6.72,55.7
37.53,25.72,6.75,55.8
37.43,25.79,6.78,55.9
37.33,25.86,6.81,56.0
37.24,25.92,6.84,56.1
37.14,25.99,6.87,56.2
37.04,26.06,6.90,56.3
36.95,26.13,6.93,56.4
36.85,26.19,6.96,56.5
36.75,26.26,6.99,56.6
36.66,26.33,7.02,56.7
36.56,26.39,7.05,56.8
36.47,26.46,7.08,56.9
36.37,26.53,7.11,57.0
36.27,26.59,7.14,57.1
36.18,26.66,7.17,57.2
36.08,26.72,7.20,57.3
35.98,26.79,7.23,57.4
35.89,26.86,7.26,57.5
35.79,26.92,7.29,57.6
35.69,26.99,7.32,57.7
35.60,27.05,7.35,57.8
35.50,27.12,7.38,57.9
35.40,27.18,7.41,58.0
35.31,27.25,7.44,58.1
35.21,27.32,7.47,58.2
35.12,27.38,7.50,58.3
35.02,27.45,7.53,58.4
34.92,27.51,7.57,58.5
34.83,27.58,7.60,58.6
34.73,27.64,7.63,58.7
34.64,27.70,7.66,58.8
34.54,27.77,7.69,58.9
34.44,27.83,7.72,59.0
34.35,27.90,7.75,59.1
34.25,27.96,7.79,59.2
34.16,28.03,7.82,59.3
34.06,28.09,7.85,59.4
33.97,28.15,7.88,59.5
33.87,28.22,7.91,59.6
33.77,28.28,7.95,59.7
33.68,28.34,7.98,59.8
33.58,28.41,8.01,59.9
33.49,28.47,8.04,60.0
33.39,28.53,8.07,60.1
33.30,28.60,8.11,60.2
33.20,28.66,8.14,60.3
33.11,28.72,8.17,60.4
33.01,28.78,8.20,60.5
32.92,28.85,8.24,60.6
32.82,28.91,8.27,60.7
32.73,28.97,8.30,60.8
32.63,29.03,8.34,60.9
32.54,29.09,8.37,61.0
32.44,29.16,8.40,61.1
32.35,29.22,8.44,61.2
32.25,29.28,8.47,61.3
32.16,29.34,8.50,61.4
32.06,29.40,8.54,61.5
31.97,29.46,8.57,61.6
31.88,29.52,8.60,61.7
31.78,29.58,8.64,61.8
31.69,29.64,8.67,61.9
31.59,29.70,8.70,62.0
31.50,29.76,8.74,62.1
31.41,29.82,8.77,62.2
31.31,29.88,8.80,62.3
31.22,29.94,8.84,62.4
31.13,30.00,8.87,62.5
31.03,30.06,8.91,62.6
30.94,30.12,8.94,62.7
30.85,30.18,8.97,62.8
30.75,30.24,9.01,62.9
30.66,30.30,9.04,63.0
30.57,30.36,9.08,63.1
30.47,30.41,9.11,63.2
30.38,30.47,9.15,63.3
30.29,30.53,9.18,63.4
30.20,30.59,9.22,63.5
30.10,30.65,9.25,63.6
30.01,30.70,9.29,63.7
29.92,30.76,9.32,63.8
29.83,30.82,9.36,63.9
29.74,30.87,9.39,64.0
29.64,30.93,9.43,64.1
29.55,30.99,9.46,64.2
29.46,31.04,9.50,64.3
29.37,31.10,9.53,64.4
29.28,31.16,9.57,64.5
29.19,31.21,9.60,64.6
29.10,31.27,9.64,64.7
29.00,31.32,9.67,64.8
28.91,31.38,9.71,64.9
28.82,31.43,9.74,65.0
28.73,31.49,9.78,65.1
28.64,31.54,9.82,65.2
28.55,31.60,9.85,65.3
28.46,31.65,9.89,65.4
28.37,31.71,9.92,65.5
28.28,31.76,9.96,65.6
28.19,31.81,10.00,65.7
28.10,31.87,10.03,65.8
28.01,31.92,10.07,65.9
27.92,31.97,10.10,66.0
27.83,32.03,10.14,66.1
27.74,32.08,10.18,66.2
27.66,32.13,10.21,66.3
27.57,32.18,10.25,66.4
27.48,32.24,10.29,66.5
27.39,32.29,10.32,66.6
27.30,32.34,10.36,66.7
27.21,32.39,10.40,66.8
27.12,32.44,10.43,66.9
27.04,32.49,10.47,67.0
26.95,32.54,10.51,67.1
26.86,32.59,10.54,67.2
26.77,32.65,10.58,67.3
26.69,32.70,10.62,67.4
26.60,32.75,10.66,67.5
26.51,32.80,10.69,67.6
26.42,32.85,10.73,67.7
26.34,32.89,10.77,67.8
26.25,32.94,10.80,67.9
26.16,32.99,10.84,68.0
26.08,33.04,10.88,68.1
25.99,33.09,10.92,68.2
25.91,33.14,10.95,68.3
25.82,33.19,10.99,68.4
25.73,33.24,11.03,68.5
25.65,33.28,11.07,68.6
25.56,33.33,11.11,68.7
25.48,33.38,11.14,68.8
25.39,33.42,11.18,68.9
25.31,33.47,11.22,69.0
25.22,33.52,11.26,69.1
25.14,33.57,11.30,69.2
25.05,33.61,11.33,69.3
24.97,33.66,11.37,69.4
24.89,33.70,11.41,69.5
24.80,33.75,11.45,69.6
24.72,33.79,11.49,69.7
24.64,33.84,11.53,69.8
24.55,33.88,11.56,69.9
24.47,33.93,11.60,70.0
24.39,33.97,11.64,70.1
24.30,34.02,11.68,70.2
24.22,34.06,11.72,70.3
24.14,34.11,11.76,70.4
24.06,34.15,11.80,70.5
23.97,34.19,11.83,70.6
23.89,34.24,11.87,70.7
23.81,34.28,11.91,70.8
23.73,34.32,11.95,70.9
23.65,34.36,11.99,71.0
23.57,34.41,12.03,71.1
23.48,34.45,12.07,71.2
23.40,34.49,12.11,71.3
23.32,34.53,12.15,71.4
23.24,34.57,12.19,71.5
23.16,34.61,12.23,71.6
23.08,34.65,12.26,71.7
23.00,34.69,12.30,71.8
22.92,34.73,12.34,71.9
22.84,34.78,12.38,72.0
22.76,34.81,12.42,72.1
22.68,34.85,12.46,72.2
22.60,34.89,12.50,72.3
22.53,34.93,12.54,72.4
22.45,34.97,12.58,72.5
22.37,35.01,12.62,72.6
22.29,35.05,12.66,72.7
22.21,35.09,12.70,72.8
22.13,35.13,12.74,72.9
22.06,35.16,12.78,73.0
21.98,35.20,12.82,73.1
21.90,35.24,12.86,73.2
21.82,35.28,12.90,73.3
21.75,35.31,12.94,73.4
21.67,35.35,12.98,73.5
21.59,35.39,13.02,73.6
21.52,35.42,13.06,73.7
21.44,35.46,13.10,73.8
21.37,35.49,13.14,73.9
21.29,35.53,13.18,74.0
21.21,35.56,13.22,74.1
21.14,35.60,13.26,74.2
21.06,35.63,13.30,74.3
20.99,35.67,13.34,74.4
20.91,35.70,13.38,74.5
20.84,35.74,13.42,74.6
20.76,35.77,13.46,74.7
20.69,35.80,13.51,74.8
20.62,35.84,13.55,74.9
20.54,35.87,13.59,75.0
20.47,35.90,13.63,75.1
20.39,35.94,13.67,75.2
20.32,35.97,13.71,75.3
20.25,36.00,13.75,75.4
20.18,36.03,13.79,75.5
20.10,36.07,13.83,75.6
20.03,36.10,13.87,75.7
19.96,36.13,13.91,75.8
19.89,36.16,13.96,75.9
19.81,36.19,14.00,76.0
19.74,36.22,14.04,76.1
19.67,36.25,14.08,76.2
19.60,36.28,14.12,76.3
19.53,36.31,14.16,76.4
19.46,36.34,14.20,76.5
19.39,36.37,14.24,76.6
19.32,36.40,14.28,76.7
19.25,36.43,14.33,76.8
19.18,36.46,14.37,76.9
19.11,36.49,14.41,77.0
19.04,36.51,14.45,77.1
18.97,36.54,14.49,77.2
18.90,36.57,14.53,77.3
18.83,36.60,14.57,77.4
18.76,36.62,14.62,77.5
18.69,36.65,14.66,77.6
18.62,36.68,14.70,77.7
18.55,36.70,14.74,77.8
18.49,36.73,14.78,77.9
18.42,36.76,14.82,78.0
18.35,36.78,14.87,78.1
18.28,36.81,14.91,78.2
18.22,36.83,14.95,78.3
18.15,36.86,14.99,78.4
18.08,36.88,15.03,78.5
18.01,36.91,15.08,78.6
17.95,36.93,15.12,78.7
17.88,36.96,15.16,78.8
17.82,36.98,15.20,78.9
17.75,37.01,15.24,79.0
17.68,37.03,15.29,79.1
17.62,37.05,15.33,79.2
17.55,37.08,15.37,79.3
17.49,37.10,15.41,79.4
17.42,37.12,15.45,79.5
17.36,37.14,15.50,79.6
17.29,37.17,15.54,79.7
17.23,37.19,15.58,79.8
17.17,37.21,15.62,79.9
17.10,37.23,15.67,80.0
17.04,37.25,15.71,80.1
16.97,37.27,15.75,80.2
16.91,37.30,15.79,80.3
16.85,37.32,15.83,80.4
16.79,37.34,15.88,80.5
16.72,37.36,15.92,80.6
16.66,37.38,15.96,80.7
16.60,37.40,16.00,80.8
16.54,37.42,16.05,80.9
16.47,37.44,16.09,81.0
16.41,37.46,16.13,81.1
16.35,37.47,16.17,81.2
16.29,37.49,16.22,81.3
16.23,37.51,16.26,81.4
16.17,37.53,16.30,81.5
16.11,37.55,16.35,81.6
16.05,37.57,16.39,81.7
15.99,37.58,16.43,81.8
15.93,37.60,16.47,81.9
15.87,37.62,16.52,82.0
15.81,37.63,16.56,82.1
15.75,37.65,16.60,82.2
15.69,37.67,16.64,82.3
15.63,37.68,16.69,82.4
15.57,37.70,16.73,82.5
15.51,37.72,16.77,82.6
15.45,37.73,16.82,82.7
15.39,37.75,16.86,82.8
15.34,37.76,16.90,82.9
15.28,37.78,16.94,83.0
15.22,37.79,16.99,83.1
15.16,37.81,17.03,83.2
15.11,37.82,17.07,83.3
15.05,37.84,17.12,83.4
14.99,37.85,17.16,83.5
14.94,37.86,17.20,83.6
14.88,37.88,17.25,83.7
14.82,37.89,17.29,83.8
14.77,37.90,17.33,83.9
14.71,37.92,17.37,84.0
14.65,37.93,17.42,84.1
14.60,37.94,17.46,84.2
14.54,37.95,17.50,84.3
14.49,37.97,17.55,84.4
14.43,37.98,17.59,84.5
14.38,37.99,17.63,84.6
14.32,38.00,17.68,84.7
14.27,38.01,17.72,84.8
14.21,38.02,17.76,84.9
14.16,38.03,17.81,85.0
14.11,38.04,17.85,85.1
14.05,38.05,17.89,85.2
14.00,38.06,17.94,85.3
13.95,38.07,17.98,85.4
13.89,38.08,18.02,85.5
13.84,38.09,18.07,85.6
13.79,38.10,18.11,85.7
13.74,38.11,18.15,85.8
13.68,38.12,18.20,85.9
13.63,38.13,18.24,86.0
13.58,38.14,18.28,86.1
13.53,38.15,18.33,86.2
13.48,38.16,18.37,86.3
13.42,38.16,18.41,86.4
13.37,38.17,18.46,86.5
13.32,38.18,18.50,86.6
13.27,38.19,18.54,86.7
13.22,38.19,18.59,86.8
13.17,38.20,18.63,86.9
13.12,38.21,18.67,87.0
13.07,38.21,18.72,87.1
13.02,38.22,18.76,87.2
12.97,38.23,18.80,87.3
